Name,Quantity,Expiry Date,Purpose
Atorvastatin,150,2025-04-18,Lowers cholesterol levels
Amoxicillin,75,2024-12-10,Treats bacterial infections
Lisinopril,110,2025-06-14,Controls blood pressure
Paracetamol,160,2025-01-02,Reduces pain and fever
Metformin,95,2025-03-28,Controls blood sugar in diabetes
Ibuprofen,60,2025-05-19,Relieves pain and inflammation
Aspirin,130,2025-07-01,Prevents blood clots and relieves pain
Vitamin C,200,2025-02-24,Boosts immunity and prevents scurvy
Amlodipine,120,2025-05-12,Treats high blood pressure
Levothyroxine,80,2025-03-30,Treats thyroid hormone deficiency
Ciprofloxacin,105,2025-04-05,Treats bacterial infections
Omeprazole,140,2025-05-20,Reduces stomach acid and heartburn
Cetirizine,90,2025-06-09,Relieves allergy symptoms
Azithromycin,100,2024-12-22,Treats respiratory infections
Pantoprazole,155,2025-06-18,Treats acid reflux and ulcers
Clopidogrel,75,2025-02-09,Prevents strokes and heart attacks
Hydrochlorothiazide,115,2025-05-07,Lowers blood pressure
Simvastatin,130,2025-03-25,Lowers cholesterol levels
Losartan,120,2025-06-15,Manages high blood pressure
Doxycycline,65,2025-03-10,Treats infections and acne
Furosemide,100,2025-04-21,Removes excess fluid from body
Prednisone,80,2025-05-01,Reduces inflammation
Warfarin,50,2025-06-05,Prevents blood clots
Alprazolam,40,2025-02-16,Reduces anxiety and panic disorders
Tramadol,90,2025-01-28,Relieves moderate to severe pain
Citalopram,100,2025-04-02,Treats depression
Gabapentin,75,2025-07-02,Treats nerve pain and seizures
Sertraline,90,2025-03-18,Used for depression and anxiety
Tamsulosin,110,2025-06-29,Treats enlarged prostate
Montelukast,150,2025-02-07,Prevents asthma and allergies
Hydroxyzine,65,2025-04-14,Relieves itching and anxiety
Loratadine,130,2025-03-25,Treats seasonal allergies
Metoprolol,140,2025-05-05,Reduces blood pressure
Carvedilol,150,2025-03-22,Treats heart failure and hypertension
Spironolactone,75,2025-06-02,Used as diuretic and for acne
Naproxen,100,2025-07-03,Relieves pain and inflammation
Ranitidine,120,2025-03-12,Reduces stomach acid
Fluconazole,95,2025-05-22,Treats fungal infections
Clarithromycin,110,2025-06-18,Treats bacterial infections
Nitrofurantoin,90,2025-05-02,Treats urinary tract infections
Erythromycin,80,2025-07-15,Treats respiratory and skin infections
Diclofenac,95,2025-04-25,Reduces inflammation and pain
Hydrocortisone,70,2025-06-06,Used for inflammation and allergies
Enalapril,85,2025-05-27,Treats high blood pressure and heart failure
Glimepiride,120,2025-04-09,Lowers blood sugar in diabetes
Pioglitazone,100,2025-06-13,Improves insulin sensitivity
Rosuvastatin,110,2025-07-05,Lowers cholesterol
Valsartan,95,2025-03-11,Treats high blood pressure
Bisoprolol,80,2025-04-29,Reduces heart rate and blood pressure
Esomeprazole,130,2025-05-17,Treats stomach acid and GERD
Sitagliptin,75,2025-06-19,Lowers blood sugar in diabetes
Risperidone,60,2025-03-20,Treats schizophrenia and bipolar disorder
Olanzapine,70,2025-07-09,Used for mental health disorders
Levofloxacin,85,2025-04-30,Treats bacterial infections
Minocycline,60,2025-05-25,Treats acne and infections
Terbinafine,90,2025-06-23,Treats fungal infections
Allopurinol,100,2025-02-28,Prevents gout attacks
Propranolol,130,2025-05-14,Reduces blood pressure and anxiety
Meloxicam,95,2025-06-08,Relieves pain and inflammation
Diazepam,70,2025-04-08,Reduces anxiety and muscle spasms
Folic Acid,150,2025-05-09,Prevents anemia and promotes cell growth
Calcium Carbonate,160,2025-06-16,Improves bone health
Iron Supplements,140,2025-07-10,Treats iron deficiency anemia
Vitamin D3,130,2025-05-26,Improves calcium absorption and bone health
Zinc Sulfate,170,2025-03-30,Boosts immune system
Magnesium Oxide,180,2025-04-17,Supports nerve and muscle function
B Complex,190,2025-07-01,Improves energy metabolism
Thiamine,200,2025-05-28,Supports nerve and heart health
Riboflavin,175,2025-06-24,Improves metabolism and cell function
